;index;conta_bancaria;descricao;valor;conta_debito;conta_credito
82;756;004905;PAGTO DEBITO EM C/C - POLO SURGICAL COMERCIO DE MA - DEB C/C- 147552-1;23723,33;;
83;757;004905;PAGTO DEBITO EM C/C - ORTHOMAXX IMPORTACAO E COMER - DEB C/C- 148616-1;8000,00;;
84;758;004905;PAGTO DEBITO EM C/C - BIOSURGI REPRESENTACOES E OP - DEB C/C- 148949-1;5800,00;;
85;759;004905;PAGTO DEBITO EM C/C - CONEMED SERVICE - MANUTENCAO - DEB C/C- 154802-1;11500,00;;
86;760;004905;PAGTO DEBITO EM C/C - MERCADOPAGO.COM REPRESENTACO - DEB C/C- 155010-1;1081,10;;
87;761;004905;PAGTO DEBITO EM C/C - CICOR SERVICOS MEDICOS LTDA  - DEB C/C- 155018-1;179,70;;
88;762;004905;PIX ALDENIRA  DE LOURDES (13/04) - PIX ALDENIRA 19476;18,00;;
89;763;004905;PIX ANA PAULA DE OLIVEIRA (13/04 - PIX ANA PAULA 19487;103,59;;
90;764;004905;PIX GUMERCINDO HOMERO (13/04) - PIX GUMERC 19486;3000,00;;
91;765;004905;CREDITO CONVENIO A IDENTIFICAR - PLAMESC IR.ISABEL;100000,00;;
92;766;004905;REND.DIARIO - REND.DIARIO;134,63;;
93;753;004905;5 TED - 5 TED;18,20;;
94;705;004905;TRANSF. C/C 004905 PARA 13001343 BORD. 4047 - T-217760;25000,00;;
95;737;004905;PIX JPS FARMA - RECIBO DOAÇÃO P/ CORRIDA - PIX JPS DOAÇÃO;5000,00;;
96;735;004905;PIX ANA  LUCIA  CAMPOS (11/04) - PIX ANA  19462;200,00;;
97;707;004905;TRANSF. C/C 004905 PARA 031327 BORD. 4051 - T-217764;80000,00;;
98;708;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 17869;949,03;;
99;709;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18028;777,44;;
100;710;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18333;327,98;;
101;711;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18626;358,31;;
102;712;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18636;290,52;;
103;713;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 18880;96,84;;
104;714;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19174;935,36;;
105;715;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19179;2443,75;;
106;716;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19200;68,42;;
107;717;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19204;706,93;;
108;718;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19448;166,14;;
109;719;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19449;49,46;;
110;736;004905;PIX DAVI  DO NASCIMENTO (10/04) - PIX DAVI 19445;750,00;;
111;720;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19464;5,94;;
112;722;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19466;152,76;;
113;723;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19467;52,44;;
